model,pk,factura,descripcion,precio
"facturas.detallefactura",47,27,"RepuestoOrdenDeTrabajoobject(1)",0
"facturas.detallefactura",48,27,"DetalleOrdenDeTrabajoobject(1)",1385
"facturas.detallefactura",49,28,"DetalleOrdenDeTrabajoobject(2)",2738
"facturas.detallefactura",50,29,"RepuestoOrdenDeTrabajoobject(2)",0
"facturas.detallefactura",51,29,"DetalleOrdenDeTrabajoobject(3)",1469
"facturas.detallefactura",52,30,"DetalleOrdenDeTrabajoobject(4)",2738
"facturas.detallefactura",53,31,"MaterialOrdenDeTrabajoobject(1)",0
"facturas.detallefactura",54,31,"DetalleOrdenDeTrabajoobject(5)",1259
"facturas.detallefactura",55,32,"MaterialOrdenDeTrabajoobject(2)",0
"facturas.detallefactura",56,32,"DetalleOrdenDeTrabajoobject(6)",1259
"facturas.detallefactura",57,33,"RepuestoOrdenDeTrabajoobject(3)",0
"facturas.detallefactura",58,33,"DetalleOrdenDeTrabajoobject(7)",1469
"facturas.detallefactura",59,34,"RepuestoOrdenDeTrabajoobject(4)",0
"facturas.detallefactura",60,34,"DetalleOrdenDeTrabajoobject(8)",1385
"facturas.detallefactura",61,35,"RepuestoOrdenDeTrabajoobject(5)",0
"facturas.detallefactura",62,35,"DetalleOrdenDeTrabajoobject(9)",1385
"facturas.detallefactura",63,36,"RepuestoOrdenDeTrabajoobject(6)",0
"facturas.detallefactura",64,36,"DetalleOrdenDeTrabajoobject(10)",4688
"facturas.detallefactura",65,37,"MaterialOrdenDeTrabajoobject(3)",0
"facturas.detallefactura",66,37,"DetalleOrdenDeTrabajoobject(11)",1259
"facturas.detallefactura",67,38,"RepuestoOrdenDeTrabajoobject(7)",0
"facturas.detallefactura",68,38,"DetalleOrdenDeTrabajoobject(12)",1385
"facturas.detallefactura",69,39,"DetalleOrdenDeTrabajoobject(13)",2649
